course,session,time,wait_time,student_response,specific_student,category,hint,cluster_q,question,is_cluster,code_name,collapsed_code
1A_L1,S1,00:00:20,1,N,N,U,,Y1,"before we begin, any questions?",Y,Understanding check,Understanding check
1A_L1,S1,00:00:22,3,N,N,U,,Y1,"any comments about lectures we had last week, or things related to the skills and reading quizzes?",Y,Understanding check,Understanding check
1A_L1,S1,00:00:33,2,N,N,U,,Y1,everybody happy?,Y,Understanding check,Understanding check
1A_L1,S1,00:38:55,2,N,N,N,,Y2,what can we do about this limit?,Y,Next step,Next step
1A_L1,S1,00:39:00,9,N,N,N,,Y2,any idea how we could tackle this limit?,Y,Next step,Next step
1A_L1,S1,00:39:11,3,N,N,N,HQ,Y2,what technique would allow us to figure out whats going on here?,Y,Next step,Next step
1A_L1,S1,00:39:17,5,N,N,N,HS,Y2,we discussed it last week?,Y,Next step,Next step
1A_L1,S1,00:39:23,2,Y,N,N,HQ,Y2,"what did we say when we had a function that looks a bit complicated, but maybe you can figure out another function that is much simpler that we can understand?",Y,Next step,Next step
1A_L1,S2,00:01:02,3,N,N,U,,N,"before we begin, any questions?",N,Understanding check,Understanding check
1A_L1,S2,00:39:36,3,Y,N,F,,N,which of these numbers is closest to the number 1?,N,Fact,Fact
1B_L7,S1,00:13:51,2,N,N,U,,N,Is it moderately clear what has happened?,N,Understanding check,Understanding check
1B_L7,S1,00:43:12,0,N,N,F,,Y1,Are there any suggestions on what the answer may be?,Y,Fact,Fact
1B_L7,S1,00:43:12,0,N,N,F,HS,Y1,You've seen this many times,Y,Fact,Fact
1B_L7,S1,00:43:12,4,N,N,F,HS,Y1,Don’t allow me to trick you,Y,Fact,Fact
2B_L8,S1,00:05:02,1,Y,N,F,,N,"[It’s a conditional statement, it goes over there!] What should I have put in there?",N,Fact,Fact
2B_L8,S1,00:29:41,3,Y,N,P,,N,Where is my mistake?,N,Proof framework,Other
2B_L8,S1,00:43:26,10,N,N,U,,Y1,Any questions while I'm erasing the board?,Y,Understanding check,Understanding check
2B_L8,S1,00:43:38,4,N,N,U,,Y1,No questions?,Y,Understanding check,Understanding check
2B_L8,S1,00:44:54,0,N,N,N,,Y2,"Let x_n be an unbounded increasing sequence, then what's my conclusion?",Y,Next step,Next step
2B_L8,S1,00:44:54,2,Y,N,N,,Y2,What happens?,Y,Next step,Next step
2B_L8,S1,00:44:58,1,Y,N,F,,N,It diverges…?,N,Fact,Fact
1B_L7,S3,00:09:17,2,Y,N,U,,N,Is this clear?,N,Understanding check,Understanding check
1B_L7,S3,00:12:46,3,N,N,U,,N,Are there questions for why the answer should be in a dictatorship given by that dot?,N,Understanding check,Understanding check
1B_L7,S3,00:18:36,1,Y,Y,A,,N,Sorry?,N,Admin,Admin
1B_L7,S3,00:20:20,1,Y,Y,U,,N,Does this answer your question?,N,Understanding check,Understanding check
1B_L7,S3,00:24:13,3,N,N,U,,N,Is this clear?,N,Understanding check,Understanding check
1B_L7,S3,00:25:56,1,N,N,U,,N,Does this make sense?,N,Understanding check,Understanding check
1B_L7,S3,00:40:47,2,Y,N,U,,N,Is this minimally clear?,N,Understanding check,Understanding check
